family,variant,condition,successes,n,rate,ci_low,ci_high
InsertPeg,pi05_baseline,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-modul,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-modul,k0,4,50,0.08,0.031549003255790686,0.18838502545063704
InsertPeg,perceptual-framesamp-modul,k1,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-modul,k3,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-modul,k7,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-modul,no-history,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-modul,k0,4,50,0.08,0.031549003255790686,0.18838502545063704
InsertPeg,perceptual-tokendrop-modul,k1,3,50,0.06,0.020614596364630478,0.16217343370877002
InsertPeg,perceptual-tokendrop-modul,k3,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-tokendrop-modul,k7,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-context,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-context,k0,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-framesamp-context,k1,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-framesamp-context,k3,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-context,k7,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-framesamp-expert,no-history,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-framesamp-expert,k0,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-expert,k1,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-expert,k3,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,perceptual-framesamp-expert,k7,3,50,0.06,0.020614596364630478,0.16217343370877002
InsertPeg,perceptual-tokendrop-context,no-history,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-context,k0,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-context,k1,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-context,k3,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-context,k7,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,no-history,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,k0,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,k1,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,k3,0,50,0.0,0.0,0.07135003417431873
InsertPeg,perceptual-tokendrop-expert,k7,0,50,0.0,0.0,0.07135003417431873
InsertPeg,recurrent-ttt-expert,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,recurrent-ttt-expert,k0,2,50,0.04,0.011038652660826577,0.13460337877954667
InsertPeg,recurrent-ttt-expert,k1,2,50,0.04,0.011038652660826577,0.13460337877954667
InsertPeg,recurrent-ttt-expert,k3,0,50,0.0,0.0,0.07135003417431873
InsertPeg,recurrent-ttt-expert,k7,1,50,0.02,0.0035391680889764604,0.10495686471836953
InsertPeg,recurrent-ttt-context,no-history,0,50,0.0,0.0,0.07135003417431873
InsertPeg,recurrent-ttt-context,k0,0,50,0.0,0.0,0.07135003417431873
InsertPeg,recurrent-ttt-context,k1,0,50,0.0,0.0,0.07135003417431873
InsertPeg,recurrent-ttt-context,k3,0,50,0.0,0.0,0.07135003417431873
InsertPeg,recurrent-ttt-context,k7,0,50,0.0,0.0,0.07135003417431873
MoveCube,pi05_baseline,no-history,19,50,0.38,0.2586259584257722,0.5184980497760643
MoveCube,perceptual-framesamp-modul,no-history,18,50,0.36,0.24138562967182875,0.49859237989698046
MoveCube,perceptual-framesamp-modul,k0,43,50,0.86,0.738135428014719,0.9304925473797714
MoveCube,perceptual-framesamp-modul,k1,33,50,0.66,0.5215356854148285,0.7756323036493895
MoveCube,perceptual-framesamp-modul,k3,25,50,0.5,0.36644286412332855,0.6335571358766714
MoveCube,perceptual-framesamp-modul,k7,16,50,0.32,0.20758044093999403,0.45810557136276076
MoveCube,perceptual-tokendrop-modul,no-history,21,50,0.42,0.2937479723456693,0.5576680331222217
MoveCube,perceptual-tokendrop-modul,k0,27,50,0.54,0.40398634328388083,0.6703056539821737
MoveCube,perceptual-tokendrop-modul,k1,23,50,0.46,0.3296943460178263,0.5960136567161192
MoveCube,perceptual-tokendrop-modul,k3,23,50,0.46,0.3296943460178263,0.5960136567161192
MoveCube,perceptual-tokendrop-modul,k7,18,50,0.36,0.24138562967182875,0.49859237989698046
MoveCube,perceptual-framesamp-context,no-history,22,50,0.44,0.3116198721023535,0.5769421319985648
MoveCube,perceptual-framesamp-context,k0,38,50,0.76,0.6258705062480763,0.8570274759812779
MoveCube,perceptual-framesamp-context,k1,20,50,0.4,0.2760818978624575,0.5381881089724063
MoveCube,perceptual-framesamp-context,k3,15,50,0.3,0.1910338908960936,0.4375061227736339
MoveCube,perceptual-framesamp-context,k7,16,50,0.32,0.20758044093999403,0.45810557136276076
MoveCube,perceptual-framesamp-expert,no-history,23,50,0.46,0.3296943460178263,0.5960136567161192
MoveCube,perceptual-framesamp-expert,k0,44,50,0.88,0.7619492111337642,0.9438247628937535
MoveCube,perceptual-framesamp-expert,k1,17,50,0.34,0.2243676963506106,0.47846431458517147
MoveCube,perceptual-framesamp-expert,k3,14,50,0.28,0.17474014357680362,0.4166538714598967
MoveCube,perceptual-framesamp-expert,k7,18,50,0.36,0.24138562967182875,0.49859237989698046
MoveCube,perceptual-tokendrop-context,no-history,13,50,0.26,0.15871379651367384,0.3955342198899992
MoveCube,perceptual-tokendrop-context,k0,39,50,0.78,0.6475818431054045,0.8724621377569771
MoveCube,perceptual-tokendrop-context,k1,21,50,0.42,0.2937479723456693,0.5576680331222217
MoveCube,perceptual-tokendrop-context,k3,19,50,0.38,0.2586259584257722,0.5184980497760643
MoveCube,perceptual-tokendrop-context,k7,16,50,0.32,0.20758044093999403,0.45810557136276076
MoveCube,perceptual-tokendrop-expert,no-history,20,50,0.4,0.2760818978624575,0.5381881089724063
MoveCube,perceptual-tokendrop-expert,k0,45,50,0.9,0.7863950966521162,0.956524876008429
MoveCube,perceptual-tokendrop-expert,k1,20,50,0.4,0.2760818978624575,0.5381881089724063
MoveCube,perceptual-tokendrop-expert,k3,10,50,0.2,0.11243629945973886,0.3303737210448524
MoveCube,perceptual-tokendrop-expert,k7,7,50,0.14,0.06950745262022862,0.2618645719852809
MoveCube,recurrent-ttt-expert,no-history,17,50,0.34,0.2243676963506106,0.47846431458517147
MoveCube,recurrent-ttt-expert,k0,23,50,0.46,0.3296943460178263,0.5960136567161192
MoveCube,recurrent-ttt-expert,k1,16,50,0.32,0.20758044093999403,0.45810557136276076
MoveCube,recurrent-ttt-expert,k3,18,50,0.36,0.24138562967182875,0.49859237989698046
MoveCube,recurrent-ttt-expert,k7,16,50,0.32,0.20758044093999403,0.45810557136276076
MoveCube,recurrent-ttt-context,no-history,17,50,0.34,0.2243676963506106,0.47846431458517147
MoveCube,recurrent-ttt-context,k0,14,50,0.28,0.17474014357680362,0.4166538714598967
MoveCube,recurrent-ttt-context,k1,15,50,0.3,0.1910338908960936,0.4375061227736339
MoveCube,recurrent-ttt-context,k3,17,50,0.34,0.2243676963506106,0.47846431458517147
MoveCube,recurrent-ttt-context,k7,15,50,0.3,0.1910338908960936,0.4375061227736339
PatternLock,pi05_baseline,no-history,2,50,0.04,0.011038652660826577,0.13460337877954667
PatternLock,perceptual-framesamp-modul,no-history,3,50,0.06,0.020614596364630478,0.16217343370877002
PatternLock,perceptual-framesamp-modul,k0,27,50,0.54,0.40398634328388083,0.6703056539821737
PatternLock,perceptual-framesamp-modul,k1,21,50,0.42,0.2937479723456693,0.5576680331222217
PatternLock,perceptual-framesamp-modul,k3,10,50,0.2,0.11243629945973886,0.3303737210448524
PatternLock,perceptual-framesamp-modul,k7,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,perceptual-tokendrop-modul,no-history,0,50,0.0,0.0,0.07135003417431873
PatternLock,perceptual-tokendrop-modul,k0,15,50,0.3,0.1910338908960936,0.4375061227736339
PatternLock,perceptual-tokendrop-modul,k1,12,50,0.24,0.14297252401872207,0.3741294937519236
PatternLock,perceptual-tokendrop-modul,k3,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-tokendrop-modul,k7,6,50,0.12,0.05617523710624647,0.2380507888662358
PatternLock,perceptual-framesamp-context,no-history,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,perceptual-framesamp-context,k0,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-framesamp-context,k1,5,50,0.1,0.04347512399157111,0.2136049033478839
PatternLock,perceptual-framesamp-context,k3,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-framesamp-context,k7,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-framesamp-expert,no-history,7,50,0.14,0.06950745262022862,0.2618645719852809
PatternLock,perceptual-framesamp-expert,k0,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,perceptual-framesamp-expert,k1,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-framesamp-expert,k3,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,perceptual-framesamp-expert,k7,5,50,0.1,0.04347512399157111,0.2136049033478839
PatternLock,perceptual-tokendrop-context,no-history,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-context,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-context,k1,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-context,k3,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-context,k7,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-expert,no-history,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-expert,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-expert,k1,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-expert,k3,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,perceptual-tokendrop-expert,k7,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,recurrent-ttt-expert,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
PatternLock,recurrent-ttt-expert,k0,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,recurrent-ttt-expert,k1,1,50,0.02,0.0035391680889764604,0.10495686471836953
PatternLock,recurrent-ttt-expert,k3,2,50,0.04,0.011038652660826577,0.13460337877954667
PatternLock,recurrent-ttt-expert,k7,4,50,0.08,0.031549003255790686,0.18838502545063704
PatternLock,recurrent-ttt-context,no-history,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,recurrent-ttt-context,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,recurrent-ttt-context,k1,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,recurrent-ttt-context,k3,8,50,0.16,0.08337321362087696,0.2851448096176598
PatternLock,recurrent-ttt-context,k7,8,50,0.16,0.08337321362087696,0.2851448096176598
RouteStick,pi05_baseline,no-history,5,50,0.1,0.04347512399157111,0.2136049033478839
RouteStick,perceptual-framesamp-modul,no-history,1,50,0.02,0.0035391680889764604,0.10495686471836953
RouteStick,perceptual-framesamp-modul,k0,34,50,0.68,0.5418944286372394,0.792419559060006
RouteStick,perceptual-framesamp-modul,k1,31,50,0.62,0.4815019502239357,0.7413740415742278
RouteStick,perceptual-framesamp-modul,k3,15,50,0.3,0.1910338908960936,0.4375061227736339
RouteStick,perceptual-framesamp-modul,k7,7,50,0.14,0.06950745262022862,0.2618645719852809
RouteStick,perceptual-tokendrop-modul,no-history,2,50,0.04,0.011038652660826577,0.13460337877954667
RouteStick,perceptual-tokendrop-modul,k0,25,50,0.5,0.36644286412332855,0.6335571358766714
RouteStick,perceptual-tokendrop-modul,k1,21,50,0.42,0.2937479723456693,0.5576680331222217
RouteStick,perceptual-tokendrop-modul,k3,11,50,0.22,0.12753786224302288,0.35241815689459555
RouteStick,perceptual-tokendrop-modul,k7,4,50,0.08,0.031549003255790686,0.18838502545063704
RouteStick,perceptual-framesamp-context,no-history,5,50,0.1,0.04347512399157111,0.2136049033478839
RouteStick,perceptual-framesamp-context,k0,10,50,0.2,0.11243629945973886,0.3303737210448524
RouteStick,perceptual-framesamp-context,k1,4,50,0.08,0.031549003255790686,0.18838502545063704
RouteStick,perceptual-framesamp-context,k3,3,50,0.06,0.020614596364630478,0.16217343370877002
RouteStick,perceptual-framesamp-context,k7,4,50,0.08,0.031549003255790686,0.18838502545063704
RouteStick,perceptual-framesamp-expert,no-history,2,50,0.04,0.011038652660826577,0.13460337877954667
RouteStick,perceptual-framesamp-expert,k0,9,50,0.18,0.0977008273245379,0.3079631945470261
RouteStick,perceptual-framesamp-expert,k1,3,50,0.06,0.020614596364630478,0.16217343370877002
RouteStick,perceptual-framesamp-expert,k3,3,50,0.06,0.020614596364630478,0.16217343370877002
RouteStick,perceptual-framesamp-expert,k7,3,50,0.06,0.020614596364630478,0.16217343370877002
RouteStick,perceptual-tokendrop-context,no-history,0,50,0.0,0.0,0.07135003417431873
RouteStick,perceptual-tokendrop-context,k0,9,50,0.18,0.0977008273245379,0.3079631945470261
RouteStick,perceptual-tokendrop-context,k1,4,50,0.08,0.031549003255790686,0.18838502545063704
RouteStick,perceptual-tokendrop-context,k3,3,50,0.06,0.020614596364630478,0.16217343370877002
RouteStick,perceptual-tokendrop-context,k7,0,50,0.0,0.0,0.07135003417431873
RouteStick,perceptual-tokendrop-expert,no-history,2,50,0.04,0.011038652660826577,0.13460337877954667
RouteStick,perceptual-tokendrop-expert,k0,9,50,0.18,0.0977008273245379,0.3079631945470261
RouteStick,perceptual-tokendrop-expert,k1,5,50,0.1,0.04347512399157111,0.2136049033478839
RouteStick,perceptual-tokendrop-expert,k3,3,50,0.06,0.020614596364630478,0.16217343370877002
RouteStick,perceptual-tokendrop-expert,k7,5,50,0.1,0.04347512399157111,0.2136049033478839
RouteStick,recurrent-ttt-expert,no-history,0,50,0.0,0.0,0.07135003417431873
RouteStick,recurrent-ttt-expert,k0,0,50,0.0,0.0,0.07135003417431873
RouteStick,recurrent-ttt-expert,k1,3,50,0.06,0.020614596364630478,0.16217343370877002
RouteStick,recurrent-ttt-expert,k3,4,50,0.08,0.031549003255790686,0.18838502545063704
RouteStick,recurrent-ttt-expert,k7,0,50,0.0,0.0,0.07135003417431873
RouteStick,recurrent-ttt-context,no-history,3,50,0.06,0.020614596364630478,0.16217343370877002
RouteStick,recurrent-ttt-context,k0,3,50,0.06,0.020614596364630478,0.16217343370877002
RouteStick,recurrent-ttt-context,k1,2,50,0.04,0.011038652660826577,0.13460337877954667
RouteStick,recurrent-ttt-context,k3,0,50,0.0,0.0,0.07135003417431873
RouteStick,recurrent-ttt-context,k7,4,50,0.08,0.031549003255790686,0.18838502545063704
VideoPlaceButton,pi05_baseline,no-history,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoPlaceButton,perceptual-framesamp-modul,no-history,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoPlaceButton,perceptual-framesamp-modul,k0,30,50,0.6,0.4618118910275937,0.7239181021375425
VideoPlaceButton,perceptual-framesamp-modul,k1,27,50,0.54,0.40398634328388083,0.6703056539821737
VideoPlaceButton,perceptual-framesamp-modul,k3,26,50,0.52,0.3851151225880844,0.6520308760449429
VideoPlaceButton,perceptual-framesamp-modul,k7,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceButton,perceptual-tokendrop-modul,no-history,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceButton,perceptual-tokendrop-modul,k0,27,50,0.54,0.40398634328388083,0.6703056539821737
VideoPlaceButton,perceptual-tokendrop-modul,k1,23,50,0.46,0.3296943460178263,0.5960136567161192
VideoPlaceButton,perceptual-tokendrop-modul,k3,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoPlaceButton,perceptual-tokendrop-modul,k7,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoPlaceButton,perceptual-framesamp-context,no-history,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceButton,perceptual-framesamp-context,k0,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceButton,perceptual-framesamp-context,k1,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceButton,perceptual-framesamp-context,k3,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoPlaceButton,perceptual-framesamp-context,k7,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceButton,perceptual-framesamp-expert,no-history,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoPlaceButton,perceptual-framesamp-expert,k0,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoPlaceButton,perceptual-framesamp-expert,k1,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceButton,perceptual-framesamp-expert,k3,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceButton,perceptual-framesamp-expert,k7,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoPlaceButton,perceptual-tokendrop-context,no-history,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoPlaceButton,perceptual-tokendrop-context,k0,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoPlaceButton,perceptual-tokendrop-context,k1,10,50,0.2,0.11243629945973886,0.3303737210448524
