family,variant,condition,successes,n,rate,ci_low,ci_high
VideoPlaceButton,perceptual-tokendrop-context,k3,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoPlaceButton,perceptual-tokendrop-context,k7,5,50,0.1,0.04347512399157111,0.2136049033478839
VideoPlaceButton,perceptual-tokendrop-expert,no-history,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoPlaceButton,perceptual-tokendrop-expert,k0,17,50,0.34,0.2243676963506106,0.47846431458517147
VideoPlaceButton,perceptual-tokendrop-expert,k1,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceButton,perceptual-tokendrop-expert,k3,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceButton,perceptual-tokendrop-expert,k7,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceButton,recurrent-ttt-expert,no-history,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoPlaceButton,recurrent-ttt-expert,k0,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoPlaceButton,recurrent-ttt-expert,k1,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceButton,recurrent-ttt-expert,k3,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceButton,recurrent-ttt-expert,k7,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoPlaceButton,recurrent-ttt-context,no-history,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceButton,recurrent-ttt-context,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoPlaceButton,recurrent-ttt-context,k1,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoPlaceButton,recurrent-ttt-context,k3,19,50,0.38,0.2586259584257722,0.5184980497760643
VideoPlaceButton,recurrent-ttt-context,k7,6,50,0.12,0.05617523710624647,0.2380507888662358
VideoPlaceOrder,pi05_baseline,no-history,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoPlaceOrder,perceptual-framesamp-modul,no-history,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoPlaceOrder,perceptual-framesamp-modul,k0,20,50,0.4,0.2760818978624575,0.5381881089724063
VideoPlaceOrder,perceptual-framesamp-modul,k1,19,50,0.38,0.2586259584257722,0.5184980497760643
VideoPlaceOrder,perceptual-framesamp-modul,k3,18,50,0.36,0.24138562967182875,0.49859237989698046
VideoPlaceOrder,perceptual-framesamp-modul,k7,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoPlaceOrder,perceptual-tokendrop-modul,no-history,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceOrder,perceptual-tokendrop-modul,k0,19,50,0.38,0.2586259584257722,0.5184980497760643
VideoPlaceOrder,perceptual-tokendrop-modul,k1,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoPlaceOrder,perceptual-tokendrop-modul,k3,18,50,0.36,0.24138562967182875,0.49859237989698046
VideoPlaceOrder,perceptual-tokendrop-modul,k7,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceOrder,perceptual-framesamp-context,no-history,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoPlaceOrder,perceptual-framesamp-context,k0,17,50,0.34,0.2243676963506106,0.47846431458517147
VideoPlaceOrder,perceptual-framesamp-context,k1,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceOrder,perceptual-framesamp-context,k3,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoPlaceOrder,perceptual-framesamp-context,k7,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceOrder,perceptual-framesamp-expert,no-history,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceOrder,perceptual-framesamp-expert,k0,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoPlaceOrder,perceptual-framesamp-expert,k1,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceOrder,perceptual-framesamp-expert,k3,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoPlaceOrder,perceptual-framesamp-expert,k7,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoPlaceOrder,perceptual-tokendrop-context,no-history,0,50,0.0,0.0,0.07135003417431873
VideoPlaceOrder,perceptual-tokendrop-context,k0,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoPlaceOrder,perceptual-tokendrop-context,k1,3,50,0.06,0.020614596364630478,0.16217343370877002
VideoPlaceOrder,perceptual-tokendrop-context,k3,0,50,0.0,0.0,0.07135003417431873
VideoPlaceOrder,perceptual-tokendrop-context,k7,0,50,0.0,0.0,0.07135003417431873
VideoPlaceOrder,perceptual-tokendrop-expert,no-history,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoPlaceOrder,perceptual-tokendrop-expert,k0,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoPlaceOrder,perceptual-tokendrop-expert,k1,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoPlaceOrder,perceptual-tokendrop-expert,k3,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoPlaceOrder,perceptual-tokendrop-expert,k7,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoPlaceOrder,recurrent-ttt-expert,no-history,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoPlaceOrder,recurrent-ttt-expert,k0,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoPlaceOrder,recurrent-ttt-expert,k1,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoPlaceOrder,recurrent-ttt-expert,k3,7,50,0.14,0.06950745262022862,0.2618645719852809
VideoPlaceOrder,recurrent-ttt-expert,k7,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoPlaceOrder,recurrent-ttt-context,no-history,6,50,0.12,0.05617523710624647,0.2380507888662358
VideoPlaceOrder,recurrent-ttt-context,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoPlaceOrder,recurrent-ttt-context,k1,7,50,0.14,0.06950745262022862,0.2618645719852809
VideoPlaceOrder,recurrent-ttt-context,k3,5,50,0.1,0.04347512399157111,0.2136049033478839
VideoPlaceOrder,recurrent-ttt-context,k7,3,50,0.06,0.020614596364630478,0.16217343370877002
VideoRepick,pi05_baseline,no-history,0,50,0.0,0.0,0.07135003417431873
VideoRepick,perceptual-framesamp-modul,no-history,0,50,0.0,0.0,0.07135003417431873
VideoRepick,perceptual-framesamp-modul,k0,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoRepick,perceptual-framesamp-modul,k1,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoRepick,perceptual-framesamp-modul,k3,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoRepick,perceptual-framesamp-modul,k7,5,50,0.1,0.04347512399157111,0.2136049033478839
VideoRepick,perceptual-tokendrop-modul,no-history,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoRepick,perceptual-tokendrop-modul,k0,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoRepick,perceptual-tokendrop-modul,k1,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoRepick,perceptual-tokendrop-modul,k3,5,50,0.1,0.04347512399157111,0.2136049033478839
VideoRepick,perceptual-tokendrop-modul,k7,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoRepick,perceptual-framesamp-context,no-history,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoRepick,perceptual-framesamp-context,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoRepick,perceptual-framesamp-context,k1,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoRepick,perceptual-framesamp-context,k3,4,50,0.08,0.031549003255790686,0.18838502545063704
VideoRepick,perceptual-framesamp-context,k7,4,50,0.08,0.031549003255790686,0.18838502545063704
VideoRepick,perceptual-framesamp-expert,no-history,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoRepick,perceptual-framesamp-expert,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoRepick,perceptual-framesamp-expert,k1,7,50,0.14,0.06950745262022862,0.2618645719852809
VideoRepick,perceptual-framesamp-expert,k3,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoRepick,perceptual-framesamp-expert,k7,4,50,0.08,0.031549003255790686,0.18838502545063704
VideoRepick,perceptual-tokendrop-context,no-history,4,50,0.08,0.031549003255790686,0.18838502545063704
VideoRepick,perceptual-tokendrop-context,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoRepick,perceptual-tokendrop-context,k1,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoRepick,perceptual-tokendrop-context,k3,3,50,0.06,0.020614596364630478,0.16217343370877002
VideoRepick,perceptual-tokendrop-context,k7,1,50,0.02,0.0035391680889764604,0.10495686471836953
VideoRepick,perceptual-tokendrop-expert,no-history,0,50,0.0,0.0,0.07135003417431873
VideoRepick,perceptual-tokendrop-expert,k0,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoRepick,perceptual-tokendrop-expert,k1,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoRepick,perceptual-tokendrop-expert,k3,6,50,0.12,0.05617523710624647,0.2380507888662358
VideoRepick,perceptual-tokendrop-expert,k7,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoRepick,recurrent-ttt-expert,no-history,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoRepick,recurrent-ttt-expert,k0,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoRepick,recurrent-ttt-expert,k1,3,50,0.06,0.020614596364630478,0.16217343370877002
VideoRepick,recurrent-ttt-expert,k3,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoRepick,recurrent-ttt-expert,k7,4,50,0.08,0.031549003255790686,0.18838502545063704
VideoRepick,recurrent-ttt-context,no-history,6,50,0.12,0.05617523710624647,0.2380507888662358
VideoRepick,recurrent-ttt-context,k0,2,50,0.04,0.011038652660826577,0.13460337877954667
VideoRepick,recurrent-ttt-context,k1,1,50,0.02,0.0035391680889764604,0.10495686471836953
VideoRepick,recurrent-ttt-context,k3,5,50,0.1,0.04347512399157111,0.2136049033478839
VideoRepick,recurrent-ttt-context,k7,3,50,0.06,0.020614596364630478,0.16217343370877002
VideoUnmask,pi05_baseline,no-history,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoUnmask,perceptual-framesamp-modul,no-history,19,50,0.38,0.2586259584257722,0.5184980497760643
VideoUnmask,perceptual-framesamp-modul,k0,18,50,0.36,0.24138562967182875,0.49859237989698046
VideoUnmask,perceptual-framesamp-modul,k1,17,50,0.34,0.2243676963506106,0.47846431458517147
VideoUnmask,perceptual-framesamp-modul,k3,18,50,0.36,0.24138562967182875,0.49859237989698046
VideoUnmask,perceptual-framesamp-modul,k7,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoUnmask,perceptual-tokendrop-modul,no-history,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoUnmask,perceptual-tokendrop-modul,k0,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmask,perceptual-tokendrop-modul,k1,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoUnmask,perceptual-tokendrop-modul,k3,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoUnmask,perceptual-tokendrop-modul,k7,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoUnmask,perceptual-framesamp-context,no-history,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoUnmask,perceptual-framesamp-context,k0,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoUnmask,perceptual-framesamp-context,k1,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoUnmask,perceptual-framesamp-context,k3,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoUnmask,perceptual-framesamp-context,k7,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoUnmask,perceptual-framesamp-expert,no-history,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoUnmask,perceptual-framesamp-expert,k0,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmask,perceptual-framesamp-expert,k1,17,50,0.34,0.2243676963506106,0.47846431458517147
VideoUnmask,perceptual-framesamp-expert,k3,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoUnmask,perceptual-framesamp-expert,k7,18,50,0.36,0.24138562967182875,0.49859237989698046
VideoUnmask,perceptual-tokendrop-context,no-history,18,50,0.36,0.24138562967182875,0.49859237989698046
VideoUnmask,perceptual-tokendrop-context,k0,18,50,0.36,0.24138562967182875,0.49859237989698046
VideoUnmask,perceptual-tokendrop-context,k1,17,50,0.34,0.2243676963506106,0.47846431458517147
VideoUnmask,perceptual-tokendrop-context,k3,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmask,perceptual-tokendrop-context,k7,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmask,perceptual-tokendrop-expert,no-history,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoUnmask,perceptual-tokendrop-expert,k0,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoUnmask,perceptual-tokendrop-expert,k1,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoUnmask,perceptual-tokendrop-expert,k3,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmask,perceptual-tokendrop-expert,k7,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoUnmask,recurrent-ttt-expert,no-history,19,50,0.38,0.2586259584257722,0.5184980497760643
VideoUnmask,recurrent-ttt-expert,k0,17,50,0.34,0.2243676963506106,0.47846431458517147
VideoUnmask,recurrent-ttt-expert,k1,17,50,0.34,0.2243676963506106,0.47846431458517147
VideoUnmask,recurrent-ttt-expert,k3,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmask,recurrent-ttt-expert,k7,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmask,recurrent-ttt-context,no-history,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmask,recurrent-ttt-context,k0,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoUnmask,recurrent-ttt-context,k1,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmask,recurrent-ttt-context,k3,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmask,recurrent-ttt-context,k7,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmaskSwap,pi05_baseline,no-history,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,perceptual-framesamp-modul,no-history,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoUnmaskSwap,perceptual-framesamp-modul,k0,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoUnmaskSwap,perceptual-framesamp-modul,k1,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,perceptual-framesamp-modul,k3,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoUnmaskSwap,perceptual-framesamp-modul,k7,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoUnmaskSwap,perceptual-tokendrop-modul,no-history,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoUnmaskSwap,perceptual-tokendrop-modul,k0,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoUnmaskSwap,perceptual-tokendrop-modul,k1,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmaskSwap,perceptual-tokendrop-modul,k3,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoUnmaskSwap,perceptual-tokendrop-modul,k7,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmaskSwap,perceptual-framesamp-context,no-history,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoUnmaskSwap,perceptual-framesamp-context,k0,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoUnmaskSwap,perceptual-framesamp-context,k1,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,perceptual-framesamp-context,k3,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoUnmaskSwap,perceptual-framesamp-context,k7,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,perceptual-framesamp-expert,no-history,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,perceptual-framesamp-expert,k0,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoUnmaskSwap,perceptual-framesamp-expert,k1,17,50,0.34,0.2243676963506106,0.47846431458517147
VideoUnmaskSwap,perceptual-framesamp-expert,k3,16,50,0.32,0.20758044093999403,0.45810557136276076
VideoUnmaskSwap,perceptual-framesamp-expert,k7,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmaskSwap,perceptual-tokendrop-context,no-history,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoUnmaskSwap,perceptual-tokendrop-context,k0,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,perceptual-tokendrop-context,k1,15,50,0.3,0.1910338908960936,0.4375061227736339
VideoUnmaskSwap,perceptual-tokendrop-context,k3,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoUnmaskSwap,perceptual-tokendrop-context,k7,14,50,0.28,0.17474014357680362,0.4166538714598967
VideoUnmaskSwap,perceptual-tokendrop-expert,no-history,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoUnmaskSwap,perceptual-tokendrop-expert,k0,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoUnmaskSwap,perceptual-tokendrop-expert,k1,13,50,0.26,0.15871379651367384,0.3955342198899992
VideoUnmaskSwap,perceptual-tokendrop-expert,k3,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoUnmaskSwap,perceptual-tokendrop-expert,k7,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,recurrent-ttt-expert,no-history,11,50,0.22,0.12753786224302288,0.35241815689459555
VideoUnmaskSwap,recurrent-ttt-expert,k0,8,50,0.16,0.08337321362087696,0.2851448096176598
VideoUnmaskSwap,recurrent-ttt-expert,k1,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoUnmaskSwap,recurrent-ttt-expert,k3,12,50,0.24,0.14297252401872207,0.3741294937519236
VideoUnmaskSwap,recurrent-ttt-expert,k7,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoUnmaskSwap,recurrent-ttt-context,no-history,9,50,0.18,0.0977008273245379,0.3079631945470261
VideoUnmaskSwap,recurrent-ttt-context,k0,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,recurrent-ttt-context,k1,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,recurrent-ttt-context,k3,10,50,0.2,0.11243629945973886,0.3303737210448524
VideoUnmaskSwap,recurrent-ttt-context,k7,9,50,0.18,0.0977008273245379,0.3079631945470261
